kode_transaksi,nominal,tanggal_transaksi,customer_id,product_id,product_name,product_category,total_transaksi,margin,status_transaksi
2363325,55021,01/09/2023,24585,PAMMDN,PDAM Medan,PDAM,55021,11,PAID
2363329,140761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,140761,11,PAID
2363331,101230,01/09/2023,2217,PLN,PLN,PLN Pascabayar,101230,11,PAID
2363334,5594,01/09/2023,24585,PAMMDN,PDAM Medan,PDAM,5594,11,PAID
2363339,54761,01/09/2023,24585,PAMMDN,PDAM Medan,PDAM,54761,11,PAID
2363342,35142,01/09/2023,2217,PLN,PLN,PLN Pascabayar,35142,11,PAID
2363347,16560,01/09/2023,24585,PAMMDN,PDAM Medan,PDAM,16560,11,PAID
2363349,39261,01/09/2023,1899,TELKOM,Telkom,Telkom,39261,11,PAID
2363354,59961,01/09/2023,24585,PAMMDN,PDAM Medan,PDAM,59961,11,PAID
2363356,106741,01/09/2023,3,PLN,PLN,PLN Pascabayar,106741,11,PAID
2363359,105211,01/09/2023,3773,PAMITN,PDAM Intan Banjar,PDAM,105211,11,PAID
2363360,200761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,200761,11,PAID
2363363,93512,01/09/2023,3210,PLN,PLN,PLN Pascabayar,93512,11,PAID
2363365,121511,01/09/2023,3773,PAMKBYM,PDAM Kab. Banyumas,PDAM,121511,11,PAID
2363366,26192,01/09/2023,3773,PLN,PLN,PLN Pascabayar,26192,11,PAID
2363368,104427,01/09/2023,3773,PLN,PLN,PLN Pascabayar,104427,11,PAID
2363374,89493,01/09/2023,3773,PLN,PLN,PLN Pascabayar,89493,11,PAID
2363384,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2363390,251740,01/09/2023,3773,PLN,PLN,PLN Pascabayar,251740,11,PAID
2363393,15990,01/09/2023,3210,PLN,PLN,PLN Pascabayar,15990,11,PAID
2363404,34962,01/09/2023,21259,PLN,PLN,PLN Pascabayar,34962,11,PAID
2363418,51815,01/09/2023,18988,PLN,PLN,PLN Pascabayar,51815,11,PAID
2363427,333561,01/09/2023,2097,PAMKBGR,PDAM Kab. Bogor,PDAM,333561,11,PAID
2363445,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2363449,98204,01/09/2023,24585,PLN,PLN,PLN Pascabayar,98204,11,PAID
2363453,51202,01/09/2023,22040,PLN,PLN,PLN Pascabayar,51202,11,PAID
2363463,60189,01/09/2023,2,PLN,PLN,PLN Pascabayar,60189,11,PAID
2363467,49591,01/09/2023,3773,PAMKPUR,PDAM Kab. Purbalingga,PDAM,49591,11,PAID
2363477,192028,01/09/2023,5451,PAMATNG,PDAM Tangerang ( Aetra ),PDAM,192028,11,PAID
2363485,105761,01/09/2023,24585,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2363492,70761,01/09/2023,2,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2363497,84895,01/09/2023,3773,PLN,PLN,PLN Pascabayar,84895,11,PAID
2363511,62912,01/09/2023,2217,PLN,PLN,PLN Pascabayar,62912,11,PAID
2363512,29153,01/09/2023,3773,PLN,PLN,PLN Pascabayar,29153,11,PAID
2363524,98011,01/09/2023,3773,PAMKCJR,PDAM Kab. Cianjur,PDAM,98011,11,PAID
2363562,94104,01/09/2023,3773,PLN,PLN,PLN Pascabayar,94104,11,PAID
2363579,195911,01/09/2023,3773,PLN,PLN,PLN Pascabayar,195911,11,PAID
2363580,51367,01/09/2023,3773,PLN,PLN,PLN Pascabayar,51367,11,PAID
2363583,62912,01/09/2023,22869,PLN,PLN,PLN Pascabayar,62912,11,PAID
2363594,70761,01/09/2023,3210,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2363630,262402,01/09/2023,20800,PLN,PLN,PLN Pascabayar,262402,11,PAID
2363643,58011,01/09/2023,2217,PLN,PLN,PLN Pascabayar,58011,11,PAID
2363644,95255,01/09/2023,3773,PLN,PLN,PLN Pascabayar,95255,11,PAID
2363662,49393,01/09/2023,21259,PLN,PLN,PLN Pascabayar,49393,11,PAID
2363667,63261,01/09/2023,21259,PAMKBYM,PDAM Kab. Banyumas,PDAM,63261,11,PAID
2363676,65411,01/09/2023,3873,PAMBTM,PDAM ATB Batam,PDAM,65411,11,PAID
2363687,23163,01/09/2023,3773,PLN,PLN,PLN Pascabayar,23163,11,PAID
2363716,340311,01/09/2023,19255,TELKOM,Telkom,Telkom,340311,11,PAID
2363717,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2363730,193313,01/09/2023,3773,PLN,PLN,PLN Pascabayar,193313,11,PAID
2363750,70761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2363756,230966,01/09/2023,3773,PLN,PLN,PLN Pascabayar,230966,11,PAID
2363757,448260,01/09/2023,3773,PLN,PLN,PLN Pascabayar,448260,11,PAID
2363759,100761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,100761,11,PAID
2363781,105761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2363785,29961,01/09/2023,2037,PAMBDNG,PDAM Kota Bandung,PDAM,29961,11,PAID
2363799,31945,01/09/2023,19608,PLN,PLN,PLN Pascabayar,31945,11,PAID
2363808,94257,01/09/2023,3210,HALO,Telkomsel Halo,Pulsa Pascabayar,94257,11,PAID
2363809,50393,01/09/2023,3773,PLN,PLN,PLN Pascabayar,50393,11,PAID
2363817,141545,01/09/2023,21259,PLN,PLN,PLN Pascabayar,141545,11,PAID
2363823,44537,01/09/2023,3773,PLN,PLN,PLN Pascabayar,44537,11,PAID
2363842,536996,01/09/2023,19990,PLN,PLN,PLN Pascabayar,536996,11,PAID
2363854,66561,01/09/2023,21259,PAMKBTG,PDAM Kab. Batang,PDAM,66561,11,PAID
2363873,70761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2363890,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2363893,84417,01/09/2023,3773,PLN,PLN,PLN Pascabayar,84417,11,PAID
2363896,46695,01/09/2023,3773,PLN,PLN,PLN Pascabayar,46695,11,PAID
2363905,241174,01/09/2023,18988,PLN,PLN,PLN Pascabayar,241174,11,PAID
2363908,70761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2363913,280761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,280761,11,PAID
2363917,35761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2363922,10782,01/09/2023,3773,PLN,PLN,PLN Pascabayar,10782,11,PAID
2363950,43986,01/09/2023,19577,PAMKKDS,PDAM Kab. Kudus,PDAM,43986,11,PAID
2363951,40833,01/09/2023,3773,PLN,PLN,PLN Pascabayar,40833,11,PAID
2363954,149103,01/09/2023,19577,PLN,PLN,PLN Pascabayar,149103,11,PAID
2363964,43310,01/09/2023,22869,PLN,PLN,PLN Pascabayar,43310,11,PAID
2363985,200761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,200761,11,PAID
2364019,48232,01/09/2023,3773,PLN,PLN,PLN Pascabayar,48232,11,PAID
2364022,63151,01/09/2023,3773,PAMSBY,PDAM Surabaya,PDAM,63151,11,PAID
2364023,558277,01/09/2023,3773,PLN,PLN,PLN Pascabayar,558277,11,PAID
2364033,38493,01/09/2023,3773,PLN,PLN,PLN Pascabayar,38493,11,PAID
